,circles_sep_factor_0.8,x,y,label,c1,c2
0,0,0.9632909945921536,-0.1050383927028217,0,0.132306010044691,0.36603431791414687
1,1,1.0349101796940516,-0.10583798509328217,0,-5.074586232869554,0.10227735303949215
2,2,0.873291425602188,0.16884143209590022,0,-5.040797181735817,0.6397071759897133
3,3,0.9311231496866544,-0.035402943067279063,0,0.1815223052946714,4.946661565239284
4,4,1.0735441214812576,-0.0918626600684489,0,0.1977700297842594,0.6446779033824701
5,5,0.9859176167889976,0.10625674210383344,0,-5.133080388635212,0.8646300100613867
6,6,1.0250487914827051,-0.02829286447559448,0,0.7427964466219795,0.006773740742448187
7,7,0.904823883289945,0.25223117194673583,0,0.9434909059114109,0.027735020978141622
8,8,1.2125819809954088,0.10188940480654668,0,-4.9647401378891765,0.5231652859821224
9,9,0.7446535510747979,0.2928429851320771,0,0.5479399401778472,5.033590936350428
10,10,0.9222899716339736,-0.04477017859244278,0,-5.053788474969037,0.9905674753000676
11,11,0.8046368538553955,0.4086059208707325,0,-4.960655556949888,0.3575360696491846
12,12,0.8378637674098677,0.3841375546047359,0,0.03945707234553031,0.3891041943763601
13,13,0.8566561475360028,0.2558293586560077,0,-4.9713481729512505,0.8357063692402803
14,14,1.229385333144897,0.17224011184361,0,-4.795746376598295,0.6230921783639061
15,15,1.0450359462091003,0.370717467876638,0,0.6641924370487134,0.07107512099836855
16,16,0.8600867892605903,0.4302723343751209,0,-5.091946118411342,0.05765929484178456
17,17,0.8615072628596809,0.3831858572577148,0,-4.988532997078501,0.5285518029873957
18,18,0.930532377935404,0.6991929414671678,0,-5.0137423703708,0.39677235182614723
19,19,0.8407250571159743,0.1462116913894217,0,-4.8634473075240585,0.7354313313501692
20,20,0.9533580957589671,0.3612258766698309,0,-5.026163834737697,0.6280621845770293
21,21,0.9608044807326852,0.6010408434216561,0,-5.128624091082276,0.00030653721113726995
22,22,0.7789597086614652,0.5949033967516367,0,0.017530338462825257,0.01687765732910229
23,23,0.7748279602739152,0.7177919584794603,0,-5.165465748974165,0.8397144865253494
24,24,0.8805516312431664,0.6265222183568454,0,-4.9962767260128995,0.16458518012381196
25,25,0.8434598216652862,0.424638587297975,0,0.12313781425888948,4.989036650002062
26,26,1.0894804420637816,0.8833329646361425,0,0.6613553841992168,0.9404968097628994
27,27,0.778033731725138,0.521138769849206,0,-4.872969869922179,0.9666066444882597
28,28,0.7928521595701703,0.5303225091662522,0,-5.014327661162812,0.8442527360701255
29,29,0.937173540788568,0.8011886449859138,0,-4.920474478540082,0.8889232509645644
30,30,1.1871844739772173,0.6371702123995255,0,0.4673326524192285,5.228488533027074
