0.6,circles_sep_factor_0.6,x,y,label,c1,c2
0,0,0.8501901782978922,0.15564738749094728,0,0.7121854071513629,0.45934796084424934
1,1,1.0578718543309673,-0.22398201241625504,0,-4.809865994815189,0.6667545429094478
2,2,0.7568770929710316,0.10250692155563004,0,-5.168572805046755,0.8912940059690603
3,3,1.1905534189362226,0.13474765779356918,0,0.1670891885098651,5.086766521801311
4,4,0.7410651529444798,0.028524403093112174,0,0.2420439000235356,0.2177246793830825
5,5,0.9005902495132445,0.15535042367534774,0,-4.988252501201203,0.47405565586584864
6,6,0.8083459217294827,0.09992313058404634,0,0.5033222993038652,0.6676200688843181
7,7,1.1856997770572295,0.033799671819004534,0,0.018992988509918707,0.19531752237312883
8,8,1.1295020806968707,0.4154046479907916,0,-5.003495202238773,0.7321717956305757
9,9,0.8869919111196565,0.04613555484571705,0,0.5189638264095712,5.109827305772584
10,10,0.9667039632658982,0.22433875591251867,0,-5.204639313624811,0.5225293579175383
11,11,0.8904180428886823,0.5893659756240912,0,-5.180969019273149,0.8588012394980442
12,12,1.0127472726289681,0.16312362204120606,0,0.26888805009787653,0.22473983809083076
13,13,0.5666527606611421,0.5510951293510943,0,-5.185952360562693,0.5377374935872099
14,14,1.074340164862624,0.2620784946973299,0,-4.958569316607605,0.894164183762562
15,15,0.931110243980364,0.2844079343192326,0,0.1979076029143242,0.7041515108727725
16,16,1.056669086514301,0.059783207844987474,0,-4.987604037312834,0.8068743135696138
17,17,1.0352172114649534,0.3460497735440175,0,-4.972604242282596,0.2220930223168458
18,18,0.9703917886324376,0.4295351623748567,0,-5.132637849250816,0.5727805812768629
19,19,0.8442454803504448,0.379609884234952,0,-4.886102618933373,0.32404271547176233
20,20,1.0247186398703385,0.36576269676195305,0,-4.901715878018261,0.6589164331843178
21,21,0.6489691956162462,0.5873556693429389,0,-5.076696303502333,0.5226096468822
22,22,0.7767972747878715,0.4888047419391412,0,0.7046820311167495,0.6254888050590407
23,23,0.9834728067776602,0.4786217887793741,0,-4.88239397235462,0.6176700243373133
24,24,0.8838533492921282,0.4174525153780655,0,-5.025092239678116,0.7364358207481377
25,25,0.7874576020003741,0.6880270082168131,0,0.2131564667521073,4.977033675670919
