,idx
0,514
1,515
2,517
3,519
4,520
5,521
6,523
7,524
8,526
9,527
10,528
11,532
12,533
13,534
14,535
15,538
16,539
17,540
18,541
19,543
20,544
21,546
22,547
23,548
24,551
25,553
26,555
27,561
28,564
29,565
30,568
31,569
32,570
33,573
34,574
35,577
36,580
37,581
38,583
39,584
40,585
41,587
42,589
43,591
44,592
45,594
46,595
47,596
48,598
49,300
50,302
51,304
52,305
53,307
54,308
55,309
56,312
57,314
58,317
59,318
60,319
61,322
62,323
63,324
64,325
65,326
66,329
67,330
68,332
69,334
70,335
71,336
72,337
73,338
74,339
75,341
76,342
77,343
78,345
79,346
80,347
81,348
82,349
83,352
84,353
85,355
86,356
87,359
88,361
89,362
90,365
91,366
92,367
93,369
94,375
95,376
96,377
97,381
98,384
99,385
100,386
101,387
102,389
103,390
104,392
105,393
106,394
107,395
108,397
109,398
110,399
111,400
112,401
113,404
114,408
115,409
116,410
117,411
118,412
119,414
120,415
121,418
122,419
123,420
124,421
125,424
126,425
127,426
128,427
129,430
130,432
131,434
132,435
133,436
134,437
135,438
136,439
137,441
138,442
139,445
140,447
141,448
142,449
143,452
144,453
145,454
146,455
147,456
148,457
149,458
150,461
151,463
152,464
153,466
154,467
155,468
156,469
157,470
158,471
159,474
160,475
161,476
162,477
163,478
164,484
165,486
166,488
167,489
168,490
169,493
170,494
171,496
172,499
173,500
174,502
175,503
176,504
177,508
178,509
179,511
